TK_NaOH_abs,,
Wavelength (nm),Abs,
222,-0.008956076577,
221,-0.006999342237,
220,-0.004346998408,
219,-0.001864750753,
218,0.001016462105,
217,0.004577196669,
216,0.008898159489,
215,0.01445032097,
214,0.02126850747,
213,0.03004047088,
212,0.04122262821,
211,0.05583128333,
210,0.07434816658,
209,0.09767132998,
208,0.1274138093,
207,0.1644843966,
206,0.210545212,
205,0.266156733,
204,0.3330764472,
203,0.4126892686,
202,0.5047368407,
201,0.6101197004,
200,0.730682075,

