200427_OS-Hellma_Küvette.csv;ohne Inhalt;Patrick;27.04.2020 17:46:06;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1659;0,067498
1660;0,067711
1661;0,066383
1662;0,067769
1663;0,067851
1664;0,068242
1665;0,06854
1666;0,06843
1667;0,067223
1668;0,068386
1669;0,068011
1670;0,070171
1671;0,069608
1672;0,069122
1673;0,069087
1674;0,068874
1675;0,068592
1676;0,069423
1677;0,069231
1678;0,069016
1679;0,069121
1680;0,068405
1681;0,068573
1682;0,06943
1683;0,069442
1684;0,069201
1685;0,06922
1686;0,068105
1687;0,068586
1688;0,06888
1689;0,069594
1690;0,069988
1691;0,069396
1692;0,068755
1693;0,069027
1694;0,068777
1695;0,069878
1696;0,069912
1697;0,070087
1698;0,069815
1699;0,069663
1700;0,069013
1701;0,070495
1702;0,070158
1703;0,070978
1704;0,070653
1705;0,070898
1706;0,0703
1707;0,070827
1708;0,070159
1709;0,071768
1710;0,071554
1711;0,071924
1712;0,071369
1713;0,071451
1714;0,071309
1715;0,072181
1716;0,071291
1717;0,072936
1718;0,072093
1719;0,07231
1720;0,072062
1721;0,072471
1722;0,072405
1723;0,07332
1724;0,072153
1725;0,072795
1726;0,072447
1727;0,072723
1728;0,072966
1729;0,073264
1730;0,072182
1731;0,072959
1732;0,072097
1733;0,072499
1734;0,072602
1735;0,072727
1736;0,072561
1737;0,071966
1738;0,071571
1739;0,07197
1740;0,072086
1741;0,071819
1742;0,072051
1743;0,071627
1744;0,071619
1745;0,071582
1746;0,070904
1747;0,071597
1748;0,071804
1749;0,071055
1750;0,071082
1751;0,070483
1752;0,070414
1753;0,071021
1754;0,071129
1755;0,070916
1756;0,071505
1757;0,07006
1758;0,070334
1759;0,070396
1760;0,070681
1761;0,070988
1762;0,070964
1763;0,070091
1764;0,070709
1765;0,069857
1766;0,070918
1767;0,071211
1768;0,071283
1769;0,070755
1770;0,070817
1771;0,070269
1772;0,071603
1773;0,071644
1774;0,071772
1775;0,071734
1776;0,071762
1777;0,071438
1778;0,072098
1779;0,071779
1780;0,072508
1781;0,073157
1782;0,072472
1783;0,072552
1784;0,072517
1785;0,072337
1786;0,073465
1787;0,073146
1788;0,0737
1789;0,073606
1790;0,073131
1791;0,073434
1792;0,073747
1793;0,073591
1794;0,074651
1795;0,073678
1796;0,073721
1797;0,073867
1798;0,074196
1799;0,074306
1800;0,074812
1801;0,073649
1802;0,073982
1803;0,074025
1804;0,074122
1805;0,074561
1806;0,074482
1807;0,073994
1808;0,074157
1809;0,073553
1810;0,073816
1811;0,074057
1812;0,073683
1813;0,073632
1814;0,073689
1815;0,07346
1816;0,074121
1817;0,073606
1818;0,073179
1819;0,073038
1820;0,072896
1821;0,072695
1822;0,072993
1823;0,072395
1824;0,073145
1825;0,073141
1826;0,072346
1827;0,072282
1828;0,071448
1829;0,071898
1830;0,072752
1831;0,072711
1832;0,07248
1833;0,072757
1834;0,07111
1835;0,071628
1836;0,072023
1837;0,07229
1838;0,072985
1839;0,072821
1840;0,07196
1841;0,071764
1842;0,071339
1843;0,072626
1844;0,073073
1845;0,073682
1846;0,073167
1847;0,072868
1848;0,072144
1849;0,073219
1850;0,072765
1851;0,07401
1852;0,073424
1853;0,074646
1854;0,073565
1855;0,073163
1856;0,073493
1857;0,075817
1858;0,074454
1859;0,074054
1860;0,074037
1861;0,074734
1862;0,074845
1863;0,073929
1864;0,075272
1865;0,07577
1866;0,075411
1867;0,075768
1868;0,075031
1869;0,076244
1870;0,076005
1871;0,076445
