200427_base.csv;leer;Patrick;27.04.2020 17:46:12;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1490;0,001145
1491;0,000898
1492;0,000221
1493;0,000583
1494;0,000561
1495;-0,000109
1496;0,000364
1497;0,000785
1498;-0,000452
1499;-0,000144
1500;-0,000558
1501;-0,000756
1502;-0,000016
1503;-0,00026
1504;-0,000778
1505;-0,000741
1506;-0,0016
1507;-0,001505
1508;-0,001003
1509;-0,000381
1510;-0,00073
1511;-0,000584
1512;-0,001852
1513;-0,00155
1514;-0,002098
1515;-0,000909
1516;-0,000166
1517;-0,000714
1518;-0,00112
1519;-0,001525
1520;-0,002011
1521;-0,00079
1522;-0,000805
1523;-0,00055
1524;-0,000297
1525;-0,000588
1526;-0,001474
1527;-0,000259
1528;-0,000719
1529;0,000111
1530;0,000549
1531;0,000145
1532;0,000179
1533;0,000361
1534;-0,000018
1535;0,000928
1536;0,000906
1537;0,000914
1538;0,00093
1539;0,000731
1540;0,000938
1541;0,001193
1542;0,000982
1543;0,001739
1544;0,001155
1545;0,0011
1546;0,001293
1547;0,001618
1548;0,00171
1549;0,002024
1550;0,000945
1551;0,001351
1552;0,000972
1553;0,001312
1554;0,001808
1555;0,001916
1556;0,00083
1557;0,001258
1558;0,000808
1559;0,00106
1560;0,001492
1561;0,001007
1562;0,00092
1563;0,001158
1564;0,000103
1565;0,000872
1566;0,000791
1567;0,000353
1568;0,000111
1569;0,000065
1570;-0,000095
1571;0,000406
1572;-0,000455
1573;0,000149
1574;0,000015
1575;-0,000598
1576;-0,000794
1577;-0,000764
1578;-0,000933
1579;-0,000089
1580;-0,000603
1581;-0,000688
1582;-0,000849
1583;-0,001994
1584;-0,001745
1585;-0,000894
1586;-0,000771
1587;-0,000403
1588;-0,000891
1589;-0,002106
1590;-0,001901
1591;-0,001916
1592;-0,001019
1593;-0,000438
1594;-0,000622
1595;-0,001374
1596;-0,001293
1597;-0,002108
1598;-0,000963
1599;-0,000937
1600;-0,000166
1601;-0,000242
1602;-0,000686
1603;-0,001668
1604;-0,000227
1605;-0,001029
1606;0,000038
1607;0,000148
1608;0,000336
1609;-0,000025
1610;0,000096
1611;-0,000463
1612;0,000903
1613;0,000428
1614;0,001095
1615;0,00071
1616;0,00101
1617;0,000504
1618;0,001153
1619;0,000436
1620;0,001643
1621;0,001167
1622;0,000978
1623;0,001135
1624;0,001388
1625;0,001343
1626;0,002113
1627;0,001106
1628;0,001249
1629;0,001186
1630;0,001269
1631;0,001668
1632;0,002061
1633;0,001245
1634;0,00108
1635;0,000884
1636;0,001046
1637;0,00111
1638;0,001296
1639;0,00118
1640;0,00134
1641;0,000647
1642;0,000656
1643;0,000782
1644;0,000555
1645;0,000672
1646;0,000183
1647;0,000177
1648;0,000336
1649;-0,000039
1650;0,0002
1651;0,000409
1652;-0,000751
1653;-0,000316
1654;-0,000768
1655;-0,000707
1656;-0,000261
1657;-0,000214
1658;-0,00087
1659;-0,000706
1660;-0,002111
1661;-0,0014
1662;-0,000773
1663;-0,000528
1664;-0,000985
1665;-0,000879
1666;-0,001992
1667;-0,001812
1668;-0,001898
1669;-0,000974
1670;0,000239
1671;-0,000334
1672;-0,000521
1673;-0,000141
1674;-0,000218
1675;-0,000738
1676;-0,000285
1677;-0,001469
1678;-0,000918
1679;-0,001281
1680;-0,000797
1681;-0,000518
1682;-0,000466
1683;-0,001681
1684;-0,001244
1685;-0,002597
1686;-0,001172
1687;-0,00067
1688;-0,000478
1689;-0,00121
1690;-0,00111
1691;-0,002815
1692;-0,001183
1693;-0,000923
1694;-0,000289
1695;-0,000427
1696;-0,000757
1697;-0,001811
1698;-0,000838
1699;-0,001153
1700;-0,000156
1701;0,000202
1702;0,000105
1703;-0,000477
1704;-0,000182
1705;-0,000377
1706;0,000484
1707;0,000089
1708;0,000862
1709;0,000918
1710;0,000615
1711;0,000486
1712;0,000831
1713;0,000489
1714;0,001647
1715;0,001367
1716;0,00065
1717;0,001196
1718;0,0014
1719;0,001342
1720;0,002022
1721;0,000909
1722;0,001209
1723;0,001325
1724;0,001356
1725;0,001778
1726;0,002076
1727;0,001388
1728;0,00115
1729;0,000811
1730;0,000947
1731;0,00146
1732;0,001649
1733;0,001198
1734;0,001235
1735;0,000334
1736;0,000875
1737;0,000766
1738;0,00055
1739;0,000754
1740;0,000449
1741;0,000016
1742;0,000404
1743;-0,000318
1744;0,000341
1745;0,000006
1746;-0,000537
1747;-0,000627
1748;-0,000695
1749;-0,001149
1750;-0,000295
1751;-0,000628
1752;-0,001103
1753;-0,001014
1754;-0,002022
1755;-0,001621
1756;-0,000404
1757;-0,000651
1758;-0,000772
1759;-0,001119
1760;-0,002435
1761;-0,001393
1762;-0,001366
1763;-0,000583
1764;-0,000358
1765;-0,000641
1766;-0,001638
1767;-0,001098
1768;-0,001822
1769;-0,000541
1770;-0,000265
1771;-0,000003
1772;-0,000222
1773;-0,000184
1774;-0,001058
1775;0,000097
1776;-0,000173
1777;0,000724
1778;0,000767
1779;0,000328
1780;-0,000155
1781;0,000931
1782;-0,000045
1783;0,001109
1784;0,000879
1785;0,00111
1786;0,000924
1787;0,001148
1788;0,000515
1789;0,0016
1790;0,00107
1791;0,00155
1792;0,000982
1793;0,001342
1794;0,001304
1795;0,00198
1796;0,001368
1797;0,001956
1798;0,000704
1799;0,001134
1800;0,001322
1801;0,00156
1802;0,001619
1803;0,001845
1804;0,000587
1805;0,001193
1806;0,000782
1807;0,001162
1808;0,001307
1809;0,00091
1810;0,00051
1811;0,001146
1812;0,000163
1813;0,000354
1814;0,00054
1815;0,000427
1816;0,000132
1817;-0,000069
1818;-0,000322
1819;-0,000384
1820;-0,000264
1821;0,000364
1822;-0,000691
1823;-0,001304
1824;-0,000832
1825;-0,001232
1826;-0,000868
1827;-0,000767
1828;-0,000584
1829;-0,001803
1830;-0,000811
1831;-0,00293
1832;-0,001451
1833;-0,000631
1834;-0,000547
1835;-0,001411
1836;-0,000855
1837;-0,003301
1838;-0,001029
1839;-0,000863
1840;-0,000645
1841;-0,000158
1842;-0,000712
1843;-0,003165
1844;-0,000635
1845;-0,000959
1846;0,000003
1847;0,000197
1848;-0,000159
1849;-0,000733
1850;-0,000377
1851;-0,000749
1852;0,000534
1853;0,000493
1854;0,000608
1855;-0,000088
1856;0,000596
1857;0,001127
1858;0,000496
1859;-0,000184
1860;0,00139
1861;0,001341
1862;0,001244
1863;0,000065
1864;0,001104
1865;0,001071
1866;0,002888
1867;0,001418
1868;0,000802
1869;0,001359
1870;0,001361
1871;0,001619
1872;0,002319
1873;0,00146
1874;0,001422
1875;0,000793
1876;0,001265
1877;0,001358
1878;0,001877
1879;0,001819
1880;0,001178
1881;0,000335
1882;0,000581
1883;0,000849
1884;0,00117
1885;0,001498
1886;0,000612
1887;0,000383
1888;0,000508
1889;-0,000056
1890;0,000578
1891;0,000329
1892;-0,000323
1893;-0,000293
1894;-0,000514
1895;-0,000742
1896;-0,000035
1897;-0,001295
1898;-0,000986
1899;-0,000711
1900;-0,001572
1901;-0,001438
1902;-0,001129
1903;-0,001518
1904;-0,000459
1905;-0,001225
1906;-0,001282
1907;-0,002
1908;-0,001326
1909;-0,00092
1910;-0,00052
1911;-0,000605
1912;-0,001502
1913;-0,001419
1914;-0,001745
1915;-0,000601
1916;-0,000167
